Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9912280701754386,0.9861111111111112,1.0,0.993006993006993
SVM,0.9824561403508771,0.9726027397260274,1.0,0.9861111111111112
Neural Network,0.9824561403508771,0.9859154929577465,0.9859154929577465,0.9859154929577465
